zip_code,population
ZCTA5 99761,422
ZCTA5 99762,4307
ZCTA5 99763,597
ZCTA5 99764,439
ZCTA5 99765,257
ZCTA5 99766,625
ZCTA5 99767,60
ZCTA5 99768,207
ZCTA5 99769,921
ZCTA5 99770,839
ZCTA5 99771,294
ZCTA5 99772,597
ZCTA5 99773,288
ZCTA5 99774,11
ZCTA5 99775,1358
ZCTA5 99776,141
ZCTA5 99777,242
ZCTA5 99778,225
ZCTA5 99780,1559
ZCTA5 99781,141
ZCTA5 99782,508
ZCTA5 99783,170
ZCTA5 99784,186
ZCTA5 99785,407
ZCTA5 99786,299
ZCTA5 99788,115
ZCTA5 99789,469
ZCTA5 99790,10
ZCTA5 99791,164
ZCTA5 99801,30106
ZCTA5 99820,527
ZCTA5 99824,2224
ZCTA5 99825,63
ZCTA5 99826,416
ZCTA5 99827,2565
ZCTA5 99829,800
ZCTA5 99830,595
ZCTA5 99832,124
ZCTA5 99833,3255
ZCTA5 99835,8738
ZCTA5 99836,97
ZCTA5 99840,1061
ZCTA5 99841,155
ZCTA5 99901,13818
ZCTA5 99903,0
ZCTA5 99918,148
ZCTA5 99919,689
ZCTA5 99921,1986
ZCTA5 99922,330
ZCTA5 99923,15
ZCTA5 99925,927
ZCTA5 99926,1635
ZCTA5 99927,38
ZCTA5 99929,2484
