zip_code,population
ZCTA5 99501,17130
ZCTA5 99502,24253
ZCTA5 99503,14148
ZCTA5 99504,42908
ZCTA5 99505,6240
ZCTA5 99506,7094
ZCTA5 99507,39460
ZCTA5 99508,34649
ZCTA5 99510,362
ZCTA5 99513,0
ZCTA5 99515,23747
ZCTA5 99516,21775
ZCTA5 99517,17226
ZCTA5 99518,9872
ZCTA5 99519,542
ZCTA5 99540,286
ZCTA5 99546,122
ZCTA5 99547,51
ZCTA5 99548,71
ZCTA5 99549,73
ZCTA5 99550,240
ZCTA5 99551,584
ZCTA5 99552,407
ZCTA5 99553,782
ZCTA5 99554,737
ZCTA5 99555,189
ZCTA5 99556,2595
ZCTA5 99557,693
ZCTA5 99558,86
ZCTA5 99559,7907
ZCTA5 99561,507
ZCTA5 99563,1194
ZCTA5 99564,40
ZCTA5 99565,59
ZCTA5 99566,104
ZCTA5 99567,9651
ZCTA5 99568,321
ZCTA5 99569,47
ZCTA5 99571,106
ZCTA5 99572,502
ZCTA5 99573,763
ZCTA5 99574,3099
ZCTA5 99575,65
ZCTA5 99576,2467
ZCTA5 99577,28317
ZCTA5 99578,472
ZCTA5 99579,80
ZCTA5 99580,79
ZCTA5 99581,808
ZCTA5 99583,64
ZCTA5 99585,343
ZCTA5 99586,309
ZCTA5 99587,2271
ZCTA5 99588,657
ZCTA5 99589,216
ZCTA5 99590,165
ZCTA5 99591,74
ZCTA5 99602,216
ZCTA5 99603,10389
ZCTA5 99604,1114
ZCTA5 99605,108
ZCTA5 99606,374
ZCTA5 99607,264
ZCTA5 99609,635
ZCTA5 99610,2010
ZCTA5 99611,16271
ZCTA5 99612,1080
ZCTA5 99613,400
ZCTA5 99614,682
ZCTA5 99615,13135
ZCTA5 99620,662
ZCTA5 99621,787
ZCTA5 99622,332
ZCTA5 99624,47
ZCTA5 99625,97
ZCTA5 99626,280
ZCTA5 99627,383
ZCTA5 99628,787
ZCTA5 99630,191
ZCTA5 99631,354
ZCTA5 99632,838
ZCTA5 99633,544
ZCTA5 99634,404
ZCTA5 99636,566
ZCTA5 99637,503
ZCTA5 99638,30
ZCTA5 99639,983
ZCTA5 99640,191
ZCTA5 99641,642
ZCTA5 99643,302
ZCTA5 99644,194
ZCTA5 99645,28127
ZCTA5 99647,13
ZCTA5 99648,94
ZCTA5 99649,63
ZCTA5 99650,600
ZCTA5 99651,28
ZCTA5 99652,3863
ZCTA5 99653,156
ZCTA5 99654,58889
ZCTA5 99655,729
ZCTA5 99656,33
ZCTA5 99657,401
ZCTA5 99658,649
ZCTA5 99659,446
ZCTA5 99660,525
ZCTA5 99661,1267
ZCTA5 99662,529
ZCTA5 99663,445
ZCTA5 99664,4467
ZCTA5 99665,59
ZCTA5 99666,118
ZCTA5 99667,96
ZCTA5 99668,84
ZCTA5 99669,15159
ZCTA5 99670,55
ZCTA5 99671,513
ZCTA5 99672,3569
ZCTA5 99674,1358
ZCTA5 99676,1578
ZCTA5 99677,132
ZCTA5 99678,845
ZCTA5 99679,431
ZCTA5 99680,447
ZCTA5 99681,315
ZCTA5 99682,464
ZCTA5 99683,398
ZCTA5 99684,705
ZCTA5 99685,4452
ZCTA5 99686,3934
ZCTA5 99688,2755
ZCTA5 99689,618
ZCTA5 99690,233
ZCTA5 99691,120
ZCTA5 99692,258
ZCTA5 99693,320
ZCTA5 99694,1586
ZCTA5 99695,0
ZCTA5 99701,18758
ZCTA5 99702,2826
ZCTA5 99703,7926
ZCTA5 99704,37
ZCTA5 99705,23539
ZCTA5 99706,3
ZCTA5 99709,32355
ZCTA5 99712,12339
ZCTA5 99714,1193
ZCTA5 99720,178
ZCTA5 99721,273
ZCTA5 99722,137
ZCTA5 99723,4377
ZCTA5 99724,46
ZCTA5 99726,47
ZCTA5 99727,616
ZCTA5 99729,219
ZCTA5 99730,45
ZCTA5 99732,0
ZCTA5 99733,116
ZCTA5 99734,1970
ZCTA5 99736,150
ZCTA5 99737,4983
ZCTA5 99738,105
ZCTA5 99739,300
ZCTA5 99740,582
ZCTA5 99741,524
ZCTA5 99742,690
ZCTA5 99743,1115
ZCTA5 99744,131
ZCTA5 99745,83
ZCTA5 99746,443
ZCTA5 99747,166
ZCTA5 99748,152
ZCTA5 99749,342
ZCTA5 99750,671
ZCTA5 99751,137
ZCTA5 99752,3379
ZCTA5 99753,261
ZCTA5 99754,79
ZCTA5 99755,619
ZCTA5 99756,86
ZCTA5 99757,32
ZCTA5 99758,213
ZCTA5 99759,306
ZCTA5 99760,644
ZCTA5 99761,403
ZCTA5 99762,4218
ZCTA5 99763,605
ZCTA5 99764,339
ZCTA5 99765,286
ZCTA5 99766,625
ZCTA5 99767,10
ZCTA5 99768,214
ZCTA5 99769,932
ZCTA5 99770,807
ZCTA5 99771,246
ZCTA5 99772,611
ZCTA5 99773,290
ZCTA5 99774,20
ZCTA5 99775,1290
ZCTA5 99776,157
ZCTA5 99777,279
ZCTA5 99778,206
ZCTA5 99780,1594
ZCTA5 99781,171
ZCTA5 99782,488
ZCTA5 99783,166
ZCTA5 99784,168
ZCTA5 99785,417
ZCTA5 99786,295
ZCTA5 99788,120
ZCTA5 99789,347
