idx,year,population,zip_code,lat,lon
876,2014,16976,99501,61.216699936,-149.887149451
877,2014,24012,99502,61.147456793,-150.017930994
878,2014,14661,99503,61.188158621,-149.88892875
879,2014,41365,99504,61.203789014,-149.738414768
880,2014,6766,99505,61.2691163,-149.6392966
881,2014,7531,99506,61.246102688,-149.799659762
882,2014,39555,99507,61.153952257,-149.824124843
883,2014,35135,99508,61.195030203,-149.820510407
884,2014,315,99510,70.101885,-149.86736
885,2014,0,99513,61.2150192,-149.8846222
886,2014,22530,99515,61.125514184,-149.884246833
887,2014,21671,99516,61.093320386,-149.786230121
888,2014,16797,99517,61.181893837,-149.917245163
889,2014,10321,99518,61.160728479,-149.8795102
890,2014,1005,99519,69.216237,-146.787467
891,2014,324,99540,60.979559,-149.4771419
892,2014,114,99546,51.8680049,-176.640263
893,2014,66,99547,52.20335,-174.200129
894,2014,58,99548,56.253889,-158.759314
895,2014,84,99549,56.923918,-158.6207499
896,2014,230,99550,57.8654,-152.882373
897,2014,590,99551,60.9097355,-161.4360978
898,2014,407,99552,60.91029,-161.223194
899,2014,896,99553,54.1333426,-165.7751048
900,2014,733,99554,62.686481,-164.663686
901,2014,231,99555,59.264016,-158.62444
902,2014,2710,99556,59.7753125,-151.7293557
903,2014,714,99557,61.261349875,-155.04415125
904,2014,86,99558,62.647966,-160.20171
905,2014,7808,99559,60.7994306,-161.880423367
906,2014,474,99561,60.15122,-164.251364
907,2014,986,99563,61.528133,-165.58826
908,2014,86,99564,56.293063,-158.404856
909,2014,60,99565,56.308844,-158.534916
910,2014,213,99566,61.508079188,-144.0523608
911,2014,10090,99567,61.419758112,-149.432086076
912,2014,224,99568,60.225717,-151.398607
913,2014,75,99569,58.813633,-158.560667
914,2014,83,99571,55.22099275,-162.72403825
915,2014,323,99572,60.507294325,-150.137730508
916,2014,794,99573,61.89971504,-145.1930184
917,2014,2721,99574,60.54174002,-145.730677972
918,2014,104,99575,61.863735,-158.137345
919,2014,2445,99576,59.029565933,-158.523278533
920,2014,27955,99577,61.314408197,-149.549971675
921,2014,425,99578,60.217841,-162.028428
922,2014,74,99579,58.210803,-157.375135
923,2014,100,99580,59.3496662,-157.4764907
924,2014,819,99581,62.776820925,-164.52530285
925,2014,31,99583,54.854405,-163.416393
926,2014,320,99585,61.878744,-162.085849
927,2014,519,99586,62.303594967,-145.287950933
928,2014,2446,99587,60.960055639,-149.128916206
929,2014,879,99588,61.868795523,-145.303510831
930,2014,237,99589,59.118218,-161.5889
931,2014,151,99590,62.905281,-160.066002
932,2014,33,99591,56.601273,-169.546544
933,2014,209,99602,62.187016,-159.856068
934,2014,9894,99603,59.66593717,-151.468001189
935,2014,1259,99604,61.526755,-166.107675
936,2014,89,99605,60.9165581,-149.624282
937,2014,369,99606,59.7372676,-154.884072
938,2014,257,99607,61.757492,-159.783535
939,2014,537,99609,60.873839,-162.51692
940,2014,2340,99610,60.351092367,-151.2799939
941,2014,15549,99611,60.55607394,-151.233940165
942,2014,900,99612,55.058092329,-162.313700655
943,2014,375,99613,58.97148284,-156.71258454
944,2014,700,99614,59.938589,-164.037219
945,2014,13096,99615,57.765947475,-152.434438812
946,2014,636,99620,63.033332,-163.551424
947,2014,763,99621,60.810771,-161.43384
948,2014,325,99622,59.873557,-163.152607
949,2014,52,99624,57.533668,-153.988133
950,2014,131,99625,59.109785,-156.8651329
951,2014,334,99626,61.514722,-160.359731
952,2014,401,99627,62.95452295,-155.59251195
953,2014,673,99628,58.975333,-159.019924
954,2014,177,99630,60.387896,-166.188097
955,2014,464,99631,60.517016,-149.456413
956,2014,781,99632,61.3601743,-150.0082657
957,2014,600,99633,58.738207,-156.966176
958,2014,365,99634,60.694934,-161.983066
959,2014,574,99636,59.450614,-157.318583
960,2014,650,99637,60.532722,-165.108508
961,2014,34,99638,52.938955,-168.861719
962,2014,956,99639,60.03796785,-151.651155975
963,2014,220,99640,59.967872,-154.851893
964,2014,459,99641,60.8969444,-162.4594444
965,2014,268,99643,57.20696,-153.297949
966,2014,278,99644,57.9231482,-152.5001318
967,2014,26573,99645,61.615415638,-149.116616326
968,2014,22,99647,59.772581,-154.1571559
969,2014,116,99648,55.911308,-159.152263
970,2014,60,99649,57.56522,-157.57175
971,2014,567,99650,61.939624,-162.883824
972,2014,42,99651,59.011633,-161.817384
973,2014,4235,99652,61.53919515,-149.973461
974,2014,147,99653,60.201368,-154.317794
975,2014,55319,99654,61.581825129,-149.442223577
976,2014,616,99655,59.750664,-161.90377
977,2014,32,99656,61.780278,-157.3344789
