BearID_mcp,DateTimeUTC_mcp,latitude_mcp,longitude_mcp
24,1985-05-06 23:29:00,70.584,-145.618
24,1985-05-08 22:29:00,70.618,-145.539
24,1985-05-09 03:23:00,70.616,-145.537
24,1985-05-10 22:44:00,70.64,-145.542
24,1985-05-12 00:15:00,70.663,-145.452
5,1985-05-12 22:33:00,70.7,-147.261
24,1985-05-13 00:03:00,70.627,-145.333
5,1985-05-14 21:52:00,70.703,-147.253
24,1985-05-15 01:25:00,70.563,-144.923
24,1985-05-16 01:13:00,70.546,-144.751
5,1985-05-16 21:41:00,70.722,-146.982
5,1985-05-17 01:05:00,70.714,-146.977
24,1985-05-17 23:53:00,70.438,-143.382
5,1985-05-19 22:50:00,70.81,-147.224
5,1985-05-22 23:38:00,70.709,-149.876
5,1985-05-23 00:05:00,70.71,-149.904
24,1985-05-23 01:42:00,70.307,-141.127
24,1985-05-24 01:30:00,70.282,-141.147
5,1985-05-24 01:35:00,70.886,-150.829
5,1985-05-25 01:25:00,71.089,-150.983
24,1985-05-25 23:30:00,70.343,-140.548
24,1985-05-26 00:04:00,70.34,-140.557
5,1985-05-26 01:14:00,71.069,-151.06
5,1985-05-27 23:10:00,70.969,-150.244
5,1985-05-28 00:57:00,70.98,-150.171
24,1985-05-30 01:44:00,70.789,-138.102
5,1985-05-30 22:00:00,70.728,-149.623
24,1985-05-31 02:58:00,70.909,-138.313
24,1985-06-01 22:10:00,71.145,-137.128
5,1985-06-01 23:51:00,70.751,-148.337
5,1985-06-02 01:38:00,70.763,-148.147
24,1985-06-02 22:29:00,71.129,-136.661
24,1985-06-03 03:28:00,71.023,-136.75
5,1985-06-03 23:43:00,70.944,-147.985
5,1985-06-04 21:37:00,70.799,-147.668
24,1985-06-04 21:38:00,70.615,-136.219
5,1985-06-05 00:58:00,70.735,-147.542
24,1985-06-05 23:08:00,70.67,-136.729
5,1985-06-06 02:15:00,70.668,-147.289
24,1985-06-06 22:33:00,70.708,-137.073
5,1985-06-07 00:41:00,70.952,-147.054
24,1985-06-07 23:49:00,70.718,-136.399
24,1985-06-08 22:38:00,70.7,-135.929
24,1985-06-09 22:26:00,70.172,-136.518
5,1985-06-10 00:09:00,70.926,-146.88
24,1985-06-11 23:46:00,70.051,-137.194
5,1985-06-11 23:51:00,70.833,-146.861
5,1985-06-12 23:40:00,70.931,-146.221
24,1985-06-13 01:18:00,70.219,-138.108
5,1985-06-13 23:19:00,70.901,-145.75
24,1985-06-14 01:08:00,70.293,-138.764
5,1985-06-14 23:14:00,70.958,-145.583
24,1985-06-15 00:56:00,70.283,-139.102
5,1985-06-15 00:59:00,70.988,-145.577
5,1985-06-16 00:00:00,70.977,-145.13
24,1985-06-16 23:29:00,70.298,-139.407
24,1985-06-17 22:40:00,70.368,-140.039
5,1985-06-17 22:45:00,70.638,-144.32
24,1985-06-18 02:00:00,70.355,-140.078
5,1985-06-19 00:21:00,70.355,-144.008
24,1985-06-20 01:44:00,70.325,-140.791
24,1985-06-21 01:35:00,70.307,-140.913
5,1985-06-22 00:52:00,70.152,-141.692
24,1985-06-22 21:48:00,70.283,-141.747
24,1985-06-23 01:12:00,70.374,-141.677
24,1985-06-24 01:47:00,70.304,-141.797
5,1985-06-24 23:37:00,69.996,-140.396
5,1985-06-25 00:55:00,70.034,-140.262
24,1985-06-25 00:55:00,70.307,-141.868
24,1985-06-26 22:52:00,70.332,-143.159
24,1985-06-27 22:28:00,70.407,-143.477
5,1985-06-28 00:06:00,70.322,-139.652
24,1985-06-28 00:06:00,70.414,-143.625
24,1985-06-29 00:06:00,70.377,-143.806
5,1985-06-29 03:00:00,70.418,-139.675
5,1985-06-30 00:55:00,70.387,-139.515
24,1985-06-30 23:50:00,70.546,-144.014
5,1985-07-01 02:15:00,70.409,-139.471
24,1985-07-01 23:38:00,70.658,-144.281
24,1985-07-02 01:21:00,70.65,-144.1
24,1985-07-03 23:05:00,70.745,-144.664
24,1985-07-04 23:01:00,70.869,-145.82
24,1985-07-06 00:34:00,70.736,-146.848
24,1985-07-07 02:06:00,70.737,-147.764
5,1985-07-08 00:12:00,70.599,-137.501
24,1985-07-09 00:01:00,70.687,-148.577
5,1985-07-10 23:40:00,71.552,-138.644
24,1985-07-10 23:40:00,71.056,-149.68
24,1985-07-11 23:30:00,71.372,-150.281
24,1985-07-12 23:19:00,71.412,-150.578
24,1985-07-13 01:00:00,71.423,-150.769
5,1985-07-13 01:01:00,72.045,-140.133
24,1985-07-14 00:49:00,71.444,-151.266
24,1985-07-15 02:20:00,71.74,-152.029
24,1985-07-16 02:11:00,71.778,-152.226
24,1985-07-17 02:00:00,71.884,-152.741
5,1985-07-17 22:24:00,71.815,-139.063
5,1985-07-18 00:05:00,71.816,-139.237
24,1985-07-18 00:06:00,72.032,-153.736
24,1985-07-19 01:46:00,72.185,-154.807
